gene,1,2,3,4,5,6,7
SEC8,0.19,0.186,0.089,0.266,0.306,0.162,0.454
YPR147C,0.149,0.152,0.094,0.324,0.311,0.236,0.373
ITC1,0.117,0.282,0.128,0.284,0.196,0.154,0.444
PAU13,0.144,0.248,0.017,0.151,0.235,0.299,0.459
HHF2,0.053,0.105,0.165,0.289,0.254,0.221,0.334
NORF 52,0.068,0.161,0,0.139,0.371,0.254,0.424
YCR074C,0.163,0.26,0.065,0.184,0.131,0.043,0.371
SNF1,0.168,0.314,0.089,0.236,0.191,0.188,0.64
YCR013C,0.189,0.352,0.104,0.319,0.445,0.187,0.307
KEX1,0.303,0.184,0.291,0.143,0.366,0.151,0.499
GENOMIC 0.25X,0.372,0.3,0.013,0.255,0.187,0.058,0.422
ELP6,0.158,0.239,0.014,0.209,0.213,0.055,0.226
AVL9,0.144,0.116,0.128,0.167,0.443,0.304,0.287
AIM26,0.015,0.183,0.103,0.15,0.109,0.226,0.426
GENOMIC 0.5X,0.378,0.32,0.098,0.299,0.207,0.008,0.452
MLS1,-0.227,-0.169,0.343,-0.104,0.111,0.92,3.696
IDP2,-0.092,-0.386,0.278,0.347,0.328,1.654,3.768
ICL1,-0.01,0.4,0.465,0.309,0.446,0.68,4.354
ACS1,-1.07,-0.514,-0.22,-0.012,-0.215,1.741,4.239
FBP1,-0.247,0.057,0.197,-0.045,0.266,0.667,4.28
SFC1,-0.755,-0.41,0.89,0.073,0.154,1.834,4.24
PCK1,-0.124,-0.13,0.278,0.146,0.074,0.553,4.283
HXT5,-0.163,-0.275,0.616,0.602,-0.31,1.841,3.498
YJL045W,-0.357,-0.265,0.474,0.097,0.079,1.543,3.019
FAT3,0.051,0.146,0.189,0.035,-0.442,2.306,3.834
SIP4,-0.651,-0.366,-0.212,-0.173,0.616,1.325,3.563
YAT2,-0.222,-0.004,0.232,-0.196,-0.843,1.565,3.635
ADY2,-0.872,-0.475,0.142,-0.037,0.493,1.048,3.186
YPS5,-0.126,-0.2,0.401,0.891,0.673,2.059,3.24
BOP2,-0.094,0.058,0.081,0.057,-0.514,1.986,3.277
GSY2,0.133,0.457,0.402,2.097,2.275,3.533,3.045
CTT1,0.218,0.197,0.077,0.982,1.393,3.937,3.389
HSP42,0.178,0.277,0.333,1.174,1.295,3.789,3.677
HSP26,0.044,0.624,0.305,1.246,1.911,3.802,3.313
HSP12,-0.078,0.5,0.561,1.766,2.508,3.716,3.849
GPX1,-0.131,-0.015,-0.07,0.483,0.878,3.843,3.191
NQM1,-0.4,-1.345,-0.282,-0.071,0.379,3.962,3.122
PGM2,0.133,0.665,0.712,2.006,1.992,3.606,3.115
YGP1,0.305,0.388,1.045,1.705,2.056,3.239,3.244
YNL200C,-0.196,0.28,0.362,1.533,1.855,3.953,3
GSY1,-0.595,-0.231,0.525,2.102,2.158,3.517,3.261
GAD1,-0.024,0.448,1.024,2.069,2.888,3.373,3.642
SPI1,0.049,0.282,1.191,1.863,2.101,3.847,3.832
MDH1,0.102,0.168,0.251,1.153,1.743,3.036,3.032
MSC1,-0.023,0.154,1.061,1.999,1.735,3.828,3.824
PIC2,-0.161,0.46,0.992,1.768,2.399,2.51,3.065
PNC1,0.255,0.414,0.189,1.382,1.77,2.959,2.256
SDH2,0.014,0.124,0.45,1.303,1.726,2.67,2.991
TMA10,-0.133,-0.21,0.076,1.243,1.578,3.568,3.116
STF2,-0.001,0.129,0.483,1.388,1.485,2.943,2.5
ALD4,0.07,0.56,0.266,1.211,1.624,2.652,2.88
APE1,-0.011,0.258,0.488,1.226,2.079,2.798,2.171
AIM41,0.188,0.128,0.298,0.969,1.517,3.984,3.319
CYT1,0.211,0.087,0.239,0.464,1.239,1.803,2.846
COX5A,-0.19,-0.074,-0.176,0.282,0.902,1.867,2.686
COX6,0.274,0.223,0.117,0.607,1.008,2.302,2.934
COX13,0.104,0.063,-0.031,0.245,1.196,2.618,2.781
RIP1,0.175,0.37,0.49,1.098,1.313,2.142,2.753
QCR7,0.21,0.266,0.305,1.094,1.38,2.851,2.996
COR1,0.09,0.029,0.609,0.745,0.602,1.876,2.907
AAC1,-0.057,-0.048,0.25,0.48,1.178,1.601,2.725
NORF 54,-0.06,-0.037,0.065,0.666,1.174,1.586,2.538
YBL100C,0.187,0.295,0.333,0.804,1.204,1.359,2.813
COX6,0.274,0.223,0.117,0.607,1.008,2.302,2.934
YGR250C,0.363,0.186,0.511,0.637,1.15,1.652,2.358
BTN2,-0.216,0.022,0.121,0.389,1.058,1.997,2.436
ATP2,0.133,0.208,0.185,0.574,0.827,1.376,2.55
COX4,0.202,0.39,0.409,0.849,1.285,2.187,2.576
ECM38,-0.131,0.177,-0.172,0.431,1.218,1.747,2.378
COX5A,-0.19,-0.074,-0.176,0.282,0.902,1.867,2.686
SPG5,0.079,0.234,0.524,0.76,0.8,2.163,2.758
NORF 4,0.251,0.053,0.285,0.745,0.701,1.995,2.422
COR1,0.09,0.029,0.609,0.745,0.602,1.876,2.907
GRX2,0.137,0.203,0.212,0.552,1.126,2.318,2.258
RIP1,0.175,0.37,0.49,1.098,1.313,2.142,2.753
YBL108W,0.1,0.244,0.328,0.442,1.241,0.993,2.839
GDB1,-0.195,0.165,-0.333,0.421,0.858,1.633,3.028
COX8,0.133,0.124,0.371,0.537,1.181,1.447,2.095
HFD1,0.1,0.37,0.239,0.582,1.128,2.401,2.339
ECM4,-0.135,-0.205,0.269,0.576,0.547,2.004,2.728
SDH3,0.42,0.294,0.587,0.981,1.491,2.174,3.126
YLR345W,-0.114,0.185,0.197,0.997,1.452,2.233,2.483
ATP20,-0.044,-0.007,0.059,0.338,0.699,1.91,2.262
EIS1,-0.055,0.113,0.287,0.605,1.086,1.188,2.319
ATP3,0.18,-0.059,0.377,0.232,0.737,1.588,2.217
GSM1,-0.332,0.146,-0.079,0.243,0.865,2.229,2.668
COX13,0.104,0.063,-0.031,0.245,1.196,2.618,2.781
PFK26,-0.144,-0.044,-0.16,0.655,1.104,1.919,2.179
AGP1,0.014,-0.057,0.384,0.294,1.16,0.963,2.906
KGD1,0.284,0.581,0.304,0.322,0.829,1.57,3.421
YOL153C,-0.186,0.002,0.401,0.288,0.875,1.454,2.249
ATP1,0.41,0.377,0.882,0.807,1.405,1.503,2.575
NDI1,-0.136,-0.324,-0.319,0.369,0.932,1.875,2.406
YPS5,-0.126,-0.2,0.401,0.891,0.673,2.059,3.24
HSP78,-0.226,-0.018,-0.363,0.836,1.281,2.321,2.869
NTH1,0.233,0.119,0.366,1.106,1.033,2.2,2.256
ROM1,-0.176,0.055,-0.367,0.27,0.733,2.041,2.509
RRP12,0.146,-0.111,-0.235,-1.014,-1.405,-3.278,-2.823
AAH1,-0.11,0.097,-0.19,-1.057,-1.132,-2.774,-2.682
HAS1,0.191,-0.086,-0.33,-1.002,-1.319,-2.735,-2.712
SAM1,0.248,0.358,0.149,-0.676,-0.841,-2.588,-2.706
GPP1,0.34,0.023,-0.337,-0.743,-1.022,-2.307,-2.573
YGR160W,0.391,0.225,-0.345,-1.341,-1.342,-2.551,-2.773
UTP5,0.071,-0.028,-0.224,-0.855,-0.999,-1.933,-5.481
HAS1,0.191,-0.086,-0.33,-1.002,-1.319,-2.735,-2.712
AAH1,-0.11,0.097,-0.19,-1.057,-1.132,-2.774,-2.682
YGR160W,0.391,0.225,-0.345,-1.341,-1.342,-2.551,-2.773
MKC7,0.193,0.147,-0.423,-0.672,-0.978,-2.502,-2.322
GPP1,0.34,0.023,-0.337,-0.743,-1.022,-2.307,-2.573
SAM1,0.248,0.358,0.149,-0.676,-0.841,-2.588,-2.706
RLP7,-0.035,-0.21,-0.343,-0.989,-0.671,-2.77,-2.007
DBF2,0.483,0.146,0.05,-0.794,-1.567,-2.123,-2.861
UTP10,-0.028,0.143,-0.198,-0.979,-0.865,-3.216,-1.634
FPR4,0.02,0,0.057,-1.016,-0.785,-2.619,-1.866
DIP2,-0.281,-0.203,-0.376,-0.722,-0.667,-2.79,-1.825
ILV5,0.425,0.175,-0.542,-1.047,-1.005,-2.401,-1.759
YNL303W,-0.333,-0.684,-0.434,-0.398,-0.911,-2.527,-2.081
MAK21,0.011,0.046,-0.088,-0.585,-0.659,-2.233,-2.053
UTP15,0.129,0.055,-0.567,-1.071,-1.118,-1.885,-2.142
YNL060C,0.097,-0.028,-0.226,-0.882,-1.114,-2.052,-1.749
ERG11,0.224,0.367,0.312,0.014,-0.003,-1.357,-0.811
KRE33,0.159,0.218,-0.057,-0.739,-0.973,-1.976,-1.988
ARB1,0.326,0.447,-0.411,-0.746,-0.995,-2.191,-1.813
MES1,0.499,0.429,-0.083,-0.564,-0.612,-2.522,-1.778
INA1,0.276,0.417,0.443,-0.463,-0.4,-2.398,-2.459
RRP9,0.147,-0.194,-0.303,-0.704,-0.748,-1.733,-3.071
TEF4,0.19,-0.094,-0.072,-0.7,-0.487,-2.104,-2.013
NEW1,0.105,0.122,-0.185,-0.663,-0.947,-1.863,-1.995
MAK16,0.352,-0.108,-0.101,-0.665,-0.574,-2.137,-1.846
NHP2,0.098,-0.044,-0.04,-0.383,-0.251,-2.185,-2.312
RPL15A,0.511,0.347,0.385,0.572,0.306,-1.039,-1.8
RPL4B,0.161,0.42,0.186,0.321,0.252,-1.014,-1.76
RPL1A,0.082,0.039,0.304,-0.21,0.198,-1.55,-2.396
RPL16B,-0.048,-0.005,0.216,0.219,0.134,-1.037,-2.297
RPP0,0.266,0.395,0.399,0.112,-0.219,-1.745,-2.387
RPS20,0.223,0.312,0.011,0.147,0.038,-1.722,-2.511
RPL9A,0.465,0.393,0.536,0.295,0.224,-1.054,-1.568
RPS19B,0.715,0.389,0.279,0.247,0.366,-1.122,-1.868
RPS22B,0.475,0.401,0.302,0.275,0.206,-1.317,-1.774
RPL27A,0.617,0.417,0.535,0.214,0.221,-1.033,-1.584
RPL4B,0.161,0.42,0.186,0.321,0.252,-1.014,-1.76
RPL15B,0.412,0.081,0.266,0.522,0.143,-1.296,-2.018
RPS23B,0.16,0.315,0.344,0.332,0.327,-0.913,-1.6
PHO88,0.284,0.303,0.124,0.245,0.274,-1.037,-1.665
RPL11A,0.326,0.372,0.111,0.231,0.282,-1.231,-1.781
RPS25A,0.279,0.221,0.3,0.428,0.491,-0.999,-1.411
RPL23B,0.206,0.203,0.111,0.337,0.125,-1.148,-1.783
RPS28B,0.2,0.134,0.514,0.45,0.066,-1.204,-1.622
RPL1B,0.278,0.457,0.633,0.298,0.071,-1.249,-1.595
TMA19,0.163,0.363,0.241,0.246,0.225,-0.922,-1.504
YBR032W,0.054,0.202,0.317,0.348,0.183,-1.025,-2.039
ELO3,0.168,0.321,0.575,0.151,0.343,-1.143,-1.677
RPS29A,0.395,0.067,0.428,0.299,0.074,-1.207,-1.452
YFR031BC,0.333,0.501,0.672,0.18,0.198,-1.317,-1.801
RPS23A,0.496,0.374,0.305,0.408,0.507,-1.044,-1.246
RPS25B,0.19,0.404,0.155,0.317,0.478,-0.819,-1.434
EFT1,0.141,0.397,0.328,0.294,0.22,-1.254,-1.391
RPS12,0.164,0.343,0.162,0.345,0.163,-0.582,-1.649
TKL1,0.568,0.603,0.425,0.309,0.429,-1.242,-1.261
RPL14A,0.225,0.362,0.064,0.141,-0.043,-0.989,-1.748
RPS1B,0.278,0.245,0.298,0.202,0.199,-1.512,-2.032
GDT1,0.051,0.276,0.578,0.413,0.058,-1.389,-1.598
RPS6A,0.321,0.209,0.456,0.4,0.307,-1.221,-1.174
NOP56,0.494,0.467,0.791,0.127,0.062,-0.805,-1.633
RPL37A,0.406,0.163,0.09,0.109,0.109,-1.231,-1.487
RPP1B,0.211,0.137,0.138,0.268,0.267,-0.557,-1.826
RPS28A,0.193,0.141,0.484,0.319,0.147,-1.059,-1.267
RPL4A,0.256,0.507,0.632,0.504,0.339,-0.741,-1.264
RPS6B,0.243,0.253,0.129,0.291,0.375,-1.521,-2.083
VRG4,0.263,0.436,0.695,0.307,0.116,-1.183,-1.3
YLR198C,0.362,0.13,0.361,0.057,0.044,-1.322,-2.048
RPL14B,0.289,0.072,0.123,0.306,0.05,-1.458,-1.592
RPL20A,0.362,0.212,0.25,0.061,0.037,-1.396,-1.611
RPS19A,0.474,0.138,0.042,0.08,0.254,-1.429,-1.826
RPL2B,0.361,0.271,0.193,-0.012,0.085,-1.306,-1.985
RPS24A,0.235,0.056,0.326,0.079,-0.095,-1.056,-1.721
RPL31A,0.326,0.393,0.21,0.117,-0.168,-0.98,-1.503
PSA1,0.276,0.485,0.159,0.372,0.154,-0.656,-1.293
RPS29B,0.275,0.264,0.169,0.116,0.06,-0.831,-1.377
RPL10,0.172,0.338,0.014,0.024,0.115,-0.886,-1.906
RPS2,0.174,0.417,0.358,0.094,0.002,-1.462,-1.703
EMP70,0.278,0.223,0.334,0.254,0.207,-1.413,-1.242
RPP2B,0.167,0.25,0.011,0.279,0.271,-0.539,-1.988
APT1,0.223,0.446,0.635,0.275,-0.139,-0.91,-1.348
YLR076C,0.283,0.058,0.015,0.274,-0.072,-1.431,-1.894
RPL37B,0.263,0.176,0.294,-0.03,-0.006,-1.146,-1.481
RPL19A,0.114,0.085,0.428,0.081,0.005,-0.863,-1.508
SSB2,0.087,0.382,0.001,0.161,0.171,-0.822,-1.452
RPL22A,0.518,0.144,0.153,-0.028,0.102,-1.397,-1.525
ERG2,0.432,0.139,0.299,0.06,0.271,-1.419,-1.294
STM1,0.455,0.123,-0.111,0.151,-0.068,-0.689,-1.843
RPS4B,0.39,0.45,0.243,-0.087,0.108,-1.507,-1.717
TIF2,0.344,0.237,0.389,0.099,-0.264,-1.338,-1.528
RPS14A,0.259,0.197,0.107,-0.04,0.197,-0.854,-1.379
RPL34B,0.491,0.076,0.19,0.106,-0.077,-1.569,-1.876
EFT2,0.187,0.387,0.135,0.285,-0.074,-0.824,-1.233